q_right_shoulder_pitch,q_right_shoulder_roll,q_right_shoulder_yaw,q_right_elbow,q_right_wrist_roll,q_right_wrist_pitch,q_right_wrist_yaw,tau_right_shoulder_pitch,tau_right_shoulder_roll,tau_right_shoulder_yaw,tau_right_elbow,tau_right_wrist_roll,tau_right_wrist_pitch,tau_right_wrist_yaw
-0.2855406963825226,-0.09496252208948136,0.055068712458014486,1.0099969339370727,-0.027497326135635377,-0.3522614407539368,-0.08921248868107795,-3.9875,-0.7525,-0.0125,-2.1825,-0.14625,-0.7116249859333038,-0.06350000068545342
-0.31097050428390505,0.004599305838346481,0.16416998445987702,0.44614561438560485,0.056552359089255336,-0.4133114790916443,0.1482899308204651,-4.75125,0.63125,-0.08625,-3.4275,0.0,-0.8600000131130219,-0.011250000167638063
-0.30506971180438996,-0.2122260057926178,-0.2576236963272095,0.5087780404090881,-0.1432397761940956,-0.6108644831180573,-0.19663549095392227,-4.63375,-2.175,-0.23375,-3.00125,-0.095,-0.8597500133514404,-0.036750001292675735
-0.2969808566570282,-0.4491313624382019,-0.41779861390590667,0.5018732440471649,-0.14966835409402848,-0.6082792675495148,-0.19468949526548385,-4.575,-3.8125,-0.74875,-2.63,-0.10375,-0.6625000154972076,0.004125000182539224
-0.3290980970859528,-0.020299599021673203,-0.2230813193321228,0.04189253553748131,-0.1425883111357689,-0.2584628343582153,-0.15080086261034012,-4.94875,-0.7075,0.2625,-3.20875,-0.14875,-0.8929999840259552,0.10937500208616256
0.0944646954536438,-0.2663920748233795,-0.2613836312294006,0.8357165884971619,-0.18926015704870225,-0.28018231749534606,-0.13454425990581512,-1.44125,-2.69,-0.6225,-2.005,-0.13125,-0.6384999859333038,-0.13349999502301216
0.062414084896445274,-0.200464448928833,-0.18060514450073242,1.1789392805099488,-0.18900777012109757,0.053755480274558065,-0.1349548417329788,-0.25375,-1.81875,-0.00125,-0.56875,-0.19625,-0.050750000700354576,-0.07812500089406967
0.2188892376422882,-0.16214824557304383,-0.19901244044303895,1.277382528781891,-0.18405397206544877,0.05341105632483959,-0.19474366247653963,0.95625,-1.69,-0.00375,0.18625,-0.09625,0.049749998897314074,0.029999999981373548
0.2173511815071106,-0.32238547921180727,-0.2223260760307312,1.4304371070861817,-0.2963686901330948,-0.10317315503954888,0.08642663583159446,1.3575,-2.94,-0.09625,0.18625,-0.095,0.04199999935925007,0.031374999955296516
0.07519502148032188,-0.5944187700748443,-0.2243981435894966,1.4320396184921265,-0.2962128984928131,0.0071090423502027985,0.08057689785957337,0.1875,-4.8075,-0.3425,0.01,-0.0875,0.10375000178813934,-0.1454999975860119
-0.42793438673019407,-0.3400593447685242,-0.22439430981874467,1.2494422602653503,-0.2963564658164978,0.10643717631697655,0.08434785351157188,-4.18625,-3.22,-0.27125,-1.75875,-0.09125,-0.37024999916553497,-0.04050000112503767
0.4121236103773117,-0.17239427983760833,-0.22170097559690474,1.4235531568527222,-0.2983130133152008,0.06394782558083534,0.03896047793328762,2.86125,-1.67625,0.055,0.8225,-0.08875,0.13675000190734862,0.032499999850988386
0.18277597308158874,-0.6860065138339997,-0.2248859030008316,1.4238141870498657,-0.2959674572944641,0.112648603618145,0.0009412410436198115,0.7475,-5.545,-0.335,0.0825,-0.08875,0.07874999821186066,-0.09125000029802323
0.0002950516185956076,-0.7318905282020569,-0.2245107963681221,1.4225253534317017,-0.2958548080921173,0.07347360774874687,0.0024131436133757234,-0.25375,-6.37875,-0.4025,-0.51875,-0.09125,0.05699999868869782,-0.07525000154972077
-0.31986040592193604,-0.4848227846622467,-0.3961694884300232,1.3132417035102844,-0.253886045217514,0.2093390107154846,0.2832725715637207,-2.94375,-4.12625,-0.13125,-1.67125,-0.00875,-0.17075000315904618,0.04199999935925007
-0.28398178935050966,-0.1694866681098938,-0.11008493676781654,0.5895361709594726,-0.26454313457012174,-0.4048311972618103,0.5691595947742463,-4.18875,-1.11375,-0.2225,-2.57125,0.25,-0.4885000079870224,-0.037500001098960636
-0.40201969385147096,-0.32772972047328947,-0.5329979622364044,0.3940652906894684,-0.4554178082942963,-0.35695229709148407,0.04234314367175102,-5.24875,-3.38,-0.25,-3.14375,0.0,-0.5802500116825103,-0.14649999782443046
-0.8280509757995606,-0.4720432889461517,-0.6157094633579254,0.021089839190244673,-0.25485293328762054,-0.4319239330291748,0.03914790831506252,-5.46375,-2.87,0.14125,-1.93625,-0.00375,-0.22649999529123307,-0.07562500178813934
-0.539819608926773,-0.7253833520412445,-1.0107785511016845,-0.256633563041687,-0.0968560279905796,-0.4063745218515396,-0.0005059739935677498,-2.855,-4.57625,0.1525,-1.31,0.0525,0.019125000536441804,0.0203750005364418
-0.1858345851302147,-1.2408229398727417,0.09623261034488678,-0.370372474193573,-0.606620864868164,-0.026588681638240814,-0.22517089128494264,-3.68,-3.69875,-2.95125,-0.68875,-0.0925,0.10562500238418579,-0.466000000834465
-0.36586257576942444,-0.3768868726491928,0.2889983892440796,-0.1206916968524456,-0.8100106585025787,-0.38601165890693667,0.10331385046243667,-4.57875,-0.4275,-1.45875,-2.67875,0.065,-0.05150000061839819,-0.554124984741211
0.3151820147037506,-0.645180093050003,-0.2300374439358711,1.503202450275421,-0.9224037623405457,0.2445618462562561,0.03967497572302818,2.54875,-5.2575,-0.06125,0.61,-0.0925,0.6707499885559082,0.023125000372529028
